ISIN	Currency	Total Buy Count	Total Sell Count	Total Buy Quantity	Total Sell Quantity	Weighted Average Buy Price	Weighted Average Sell Price	Max Buy Price	Min Sell Price
ES0178430E18	EUR	178	2	4625	86	14309.675675675675	9290.697674418605	16493.75	9290.697674418605
ES0184262212	EUR	34		170		904000.0		904000.0	
FI0009000202	EUR	1		5		458800.0		458800.0	
FI0009000681	EUR		1		34		12970.588235294117		12970.588235294117
FI0009003727	EUR	2		22		79700.0		79709.09090909091	
FI0009005318	EUR		1		7		205000.0		205000.0
FI0009005987	EUR	8		43		501209.3023255814		541400.0	
FI4000297767	EUR		1		11		80245.45454545454		80245.45454545454
FO0000000179	NOK	8	16	807	1614	548277.571251549	554287.4845105328	554600.0	550693.0693069306
FR0000045072	EUR	34		7922		3648.068669527897		3648.068669527897	
FR0000073272	EUR		34		340		1259000.0		1259000.0
FR0000120172	EUR		34		1530		51111.11111111111		51111.11111111111
FR0000120271	EUR		34		578		323529.4117647059		323529.4117647059
FR0000120404	EUR	1		47		57255.31914893617		57255.31914893617	
FR0000120503	EUR		34		918		128703.70370370371		128703.70370370371
FR0000120578	EUR		34		306		1058888.888888889		1058888.888888889
FR0000120693	EUR	1		5		3700000.0		3700000.0	
FR0000121014	EUR	34		170		11620000.0		11620000.0	
FR0000121667	EUR		34		170		3760000.0		3760000.0
FR0000121972	EUR		34		1122		450060.6060606061		450060.6060606061
FR0000125007	EUR	34	34	510	918	260000.0	250000.0	260000.0	250000.0
FR0000125338	EUR		34		544		1343750.0		1343750.0
FR0000131104	EUR	25		1200		98958.33333333333		98958.33333333333	
FR0000133308	EUR	34		2618		12337.662337662337		12337.662337662337	
FR0007054358	EUR	66	68	72600	74800	3262.658402203857	3274.485294117647	3340.4545454545455	3226.818181818182
FR0010010827	EUR	34	33	387600	376200	195.41924664602683	196.0207336523126	201.8421052631579	192.76315789473685
FR0010261198	EUR	10		580		245808.62068965516		246482.75862068965	
FR0010340141	EUR	34		238		1471428.5714285714		1471428.5714285714	
