ISIN	Currency	Total Buy Count	Total Sell Count	Total Buy Quantity	Total Sell Quantity	Weighted Average Buy Price	Weighted Average Sell Price	Max Buy Price	Min Sell Price
GB0001990497	GBX	182		256877		26874.535283423585		214325.8426966292	
GB0002018363	GBX	139		12662		3363291.73906176		307500000.0	
GB0002074580	GBX	195		21157		2891109.325518741		314600000.0	
GB0002148343	GBX	210		26652		1212869.5782680474		77600000.0	
GB0002162385	GBX	1955		1464909		51828.97367686321		38800000.0	
GB0002318888	GBX	129		10387		4020390.8732068934		107333333.33333333	
GB0002374006	GBX	2648		335743		2760048.3107615053		44131250.0	
GB0002395811	GBX	229		33323		1216217.0272784564		19688888.888888888	
GB0002405495	GBX	1500		105132		4132142.449492067		57280000.0	
GB0002418548	GBX	194		297522		6864.332721613864		126941.17647058824	
GB0002634946	GBX	1724		818190		145434.50787714345		4323750.0	
GB0002652740	GBX	241		33991		2005201.3768350445		283500000.0	
GB0002869419	GBX	208		51684		534142.0942651498		133500000.0	
GB0002875804	GBX	2372		311432		2327858.569446942		9604687.5	
GB0002945029	GBX	149		142411		46831.354319539925		306896.5517241379	
GB0003052338	GBX	227		159888		82372.66086260382		1346511.6279069767	
GB0003096442	GBX	1072		314361		308635.7722491021		1236805.5555555555	
GB0003308607	GBX	256		34684		1810445.738669127		254900000.0	
GB0003385308	GBX	194		26897		2180800.832806633		302000000.0	
GB0003395000	GBX	121		85582		59240.84503750789		621739.1304347826	
GB0003435012	GBX	1		1		38550000.0		38550000.0	
GB0003450359	GBX	163		53925		222924.4320815948		642241.3793103448	
GB0003452173	GBX	193		422784		4179.521930820466		9210000.0	
GB0003466074	GBX	67		27490		193903.23754092396		13316666.666666666	
GB0003718474	GBX	160		8988		12176234.979973298		690000000.0	
GB0003753778	GBX	24		1486		812018.8425302827		2168000.0	
GB0004052071	GBX	1144		143387		1869305.4461004136		9268000.0	
GB0004082847	GBX	1807		955532		88624.74516813671		47000000.0	
GB0004161021	GBX	281		768483		4210.750270337795		5770000.0	
GB0004220025	GBX	208		46690		953180.5525808524		211200000.0	
GB0004228648	GBX	191		22535		1440976.2591524296		11746666.666666666	
GB0004270301	GBX	109		19521		710516.8792582348		15750000.0	
GB0004478896	GBX	187		119482		34131.91945230244		21900000.0	
GB0004544929	GBX	1728		348365		757076.1988144618		25000000.0	
GB0004657408	GBX	242		771793		1489.570389987989		1578333.3333333333	
GB0004726096	GBX	155		223059		15408.031059047158		1213684.2105263157	
GB0004866223	GBX	157		35628		319939.3735264399		71600000.0	
GB0004915632	GBX	204		381073		4593.476840395409		268125.0	
GB0005405286	GBX	2914		2867012		48008.839865337155		23652500.0	
GB0005576813	GBX	622		172737		280322.6870907796		79180000.0	
GB0005603997	GBX	1509		1984037		18751.4496957466		24610000.0	
GB0005758098	GBX	1043		552684		141948.1294917168		10760000.0	
GB0005774855	GBX	291		113092		189480.2461712588		18300000.0	
GB0006027295	GBX	205		264190		23916.87800446648		234328.35820895524	
GB0006111909	GBX	196		120961		184264.34966642142		2296000.0	
GB0006215205	GBX	191		227825		16649.75309996708		2032000.0	
GB0006436108	GBX	226		36427		944162.297197134		13000000.0	
GB0006640972	GBX	158		11409		3594136.2082566395		23636363.636363637	
GB0006650450	GBX	253		44165		1311083.4371108343		223500000.0	
GB0006667470	GBX	33		1438		1561682.892906815		6118181.818181818	
GB0006731235	GBX	1774		230894		1309490.502135179		58150000.0	
GB0006776081	GBX	1563		548831		173238.97520366014		2646086.9565217393	
GB0006825383	GBX	1532		218166		1609632.5733615686		233500000.0	
GB0006827546	GBX	213		1463		700150375.9398496		4930000000.0	
